,Batter,Matches,Inns,Runs,Avg,SR,Year
1,Romario Shepherd,6,5,57,28.50,271.43,2024
2,Jake Fraser-McGurk,9,9,330,36.67,234.04,2024
3,MS Dhoni,14,11,161,53.67,220.55,2024
4,Abhishek Sharma,16,16,484,32.27,204.22,2024
5,Ramandeep Singh,14,9,125,31.25,201.61,2024
6,Travis Head,15,15,567,40.50,191.55,2024
7,Tristan Stubbs,14,13,378,54.00,190.91,2024
8,Dinesh Karthik,15,13,326,36.22,187.36,2024
9,Andre Russell,14,9,222,31.71,185.00,2024
10,Mahipal Lomror,10,10,125,15.62,183.82,2024
11,Philip Salt,12,12,435,39.55,182.01,2024
12,Rilee Rossouw,8,8,211,26.38,181.90,2024
13,Sunil Narine,14,14,488,34.86,180.74,2024
14,Nicholas Pooran,14,14,499,62.38,178.21,2024
15,Naman Dhir,7,7,140,23.33,177.22,2024
1,Abdul Samad,4,4,59,19.67,226.92,2025
2,Nicholas Pooran,5,5,288,72.00,225.00,2025
3,Priyansh Arya,4,4,158,39.50,210.67,2025
4,Ashutosh Sharma,2,2,67,67.00,209.38,2025
5,Tim David,4,3,55,55.00,203.70,2025
6,Shreyas Iyer,4,4,168,84.00,200.00,2025
7,Travis Head,5,5,148,29.60,189.74,2025
8,Jitesh Sharma,4,3,85,42.50,184.78,2025
9,Aniket Verma,5,5,141,28.20,183.12,2025
10,Shahrukh Khan,5,3,51,25.50,182.14,2025
11,Mitchell Marsh,5,5,265,53.00,180.27,2025
12,Nitish Rana,5,5,113,22.60,179.37,2025
13,Sherfane Rutherford,5,5,136,45.33,178.95,2025
14,Rinku Singh,5,4,99,49.50,176.79,2025
15,Ishan Kishan,5,5,127,31.75,176.39,2025