,Batter,Runs,Balls,Sr,Vs,4s,6s,Years
1,Marcus Stoinis,124,63,196.83,Chennai Super Kings,13,6,2024
2,Virat Kohli,113,72,156.94,Rajasthan Royals,12,4,2024
3,Sunil Narine,109,56,194.64,Rajasthan Royals,13,6,2024
4,Jonny Bairstow,108,48,225.00,Kolkata Knight Riders,8,9,2024
5,Ruturaj Gaikwad,108,60,180.00,Lucknow Super Giants,12,3,2024
6,Jos Buttler,107,60,178.33,Kolkata Knight Riders,9,6,2024
7,Rohit Sharma,105,63,166.67,Chennai Super Kings,11,5,2024
8,Shubman Gill,104,55,189.09,Chennai Super Kings,9,6,2024
9,Yashasvi Jaiswal,104,60,173.33,Mumbai Indians,9,7,2024
10,Sai Sudharsan,103,51,201.96,Chennai Super Kings,5,7,2024
11,Travis Head,102,41,248.78,Royal Challengers Bengaluru,9,8,2024
12,Suryakumar Yadav,102,51,200.00,Sunrisers Hyderabad,12,6,2024
13,Will Jacks,100,41,243.90,Gujarat Titans,5,10,2024
14,Jos Buttler,100,58,172.41,Royal Challengers Bengaluru,9,4,2024
15,Ruturaj Gaikwad,98,54,181.48,Sunrisers Hyderabad,10,3,2024
1,Ishan Kishan,106,47,225.53,Rajasthan Royals,11,6,2025
2,Priyansh Arya,103,42,245.24,Chennai Super Kings,7,9,2025
3,Shreyas Iyer,97,42,230.95,Gujarat Titans,5,9,2025
4,Quinton de Kock,97,61,159.02,Rajasthan Royals,8,6,2025
5,Nicholas Pooran,87,36,241.67,Kolkata Knight Riders,7,8,2025
6,Sai Sudharsan,82,53,154.72,Rajasthan Royals,8,3,2025
7,Nitish Rana,81,36,225.00,Chennai Super Kings,10,5,2025
8,Mitchell Marsh,81,48,168.75,Kolkata Knight Riders,6,5,2025
9,KL Rahul,77,51,150.98,Chennai Super Kings,6,3,2025
10,Nicholas Pooran,75,30,250.00,Delhi Capitals,6,7,2025
11,Sai Sudharsan,74,41,180.49,Punjab Kings,5,6,2025
12,Aniket Verma,74,41,180.49,Delhi Capitals,5,6,2025
13,Jos Buttler,73,39,187.18,Royal Challengers Bengaluru,5,6,2025
14,Mitchell Marsh,72,36,200.00,Delhi Capitals,6,6,2025
15,Nicholas Pooran,70,26,269.23,Sunrisers Hyderabad,6,6,2025