,Batter,Matches,Inns,Runs,4s,Year
1,Travis Head,15,15,567,64,2024
2,Virat Kohli,15,15,741,62,2024
3,Ruturaj Gaikwad,14,14,583,58,2024
4,Yashasvi Jaiswal,15,15,435,54,2024
5,Sunil Narine,14,14,488,50,2024
6,Philip Salt,12,12,435,50,2024
7,Sanju Samson,15,15,531,48,2024
8,Sai Sudharsan,12,12,527,48,2024
9,Faf du Plessis,15,15,438,47,2024
10,KL Rahul,14,14,520,45,2024
11,Rohit Sharma,14,14,417,45,2024
12,Riyan Parag,15,14,573,40,2024
13,Marcus Stoinis,14,14,388,39,2024
14,Shubman Gill,12,12,426,37,2024
15,Abhishek Sharma,16,16,484,36,2024
1,Mitchell Marsh,5,5,265,28,2025
2,Nicholas Pooran,5,5,288,25,2025
3,Sai Sudharsan,5,5,273,24,2025
4,Travis Head,5,5,148,21,2025
5,Suryakumar Yadav,5,5,199,20,2025
6,Sanju Samson,5,5,178,20,2025
7,Jos Buttler,5,5,202,19,2025
8,Ajinkya Rahane,5,5,184,17,2025
9,Rajat Patidar,4,4,161,16,2025
10,Shubman Gill,5,5,148,16,2025
11,Philip Salt,4,4,106,16,2025
12,Virat Kohli,4,4,164,15,2025
13,Priyansh Arya,4,4,158,15,2025
14,Ruturaj Gaikwad,5,5,122,14,2025
15,Venkatesh Iyer,5,4,114,14,2025