,Batter,Matches,Inns,Runs,H.S,100s,Year
1,Jos Buttler,11,11,359,107,2,2024
2,Virat Kohli,15,15,741,113,1,2024
3,Ruturaj Gaikwad,14,14,583,108,1,2024
4,Travis Head,15,15,567,102,1,2024
5,Sai Sudharsan,12,12,527,103,1,2024
6,Sunil Narine,14,14,488,109,1,2024
7,Yashasvi Jaiswal,15,15,435,104,1,2024
8,Shubman Gill,12,12,426,104,1,2024
9,Rohit Sharma,14,14,417,105,1,2024
10,Marcus Stoinis,14,14,388,124,1,2024
11,Suryakumar Yadav,11,11,345,102,1,2024
12,Jonny Bairstow,11,11,298,108,1,2024
13,Will Jacks,8,8,230,100,1,2024
1,Priyansh Arya,4,4,158,103,1,2025
2,Ishan Kishan,5,5,127,106,1,2025