,Bowler,Matches,Overs,Wkts,Avg,Year
1,Mayank Yadav,4,12.1,7,12.14,2024
2,Matheesha Pathirana,6,22.0,13,13.00,2024
3,Andre Russell,14,29.2,19,15.53,2024
4,Jasprit Bumrah,13,51.5,20,16.80,2024
5,Varun Chakaravarthy,14,50.0,21,19.14,2024
6,Ravisrinivasan Sai Kishore,5,15.0,7,19.57,2024
7,Sandeep Warrier,5,11.0,6,19.83,2024
8,Harshal Patel,14,49.0,24,19.88,2024
9,Harshit Rana,12,42.1,19,20.16,2024
10,Kuldeep Sen,3,12.0,6,20.33,2024
11,Nandre Burger,5,17.0,7,20.71,2024
12,Glenn Maxwell,10,16.0,6,21.50,2024
13,Sunil Narine,14,55.0,17,21.65,2024
14,Mukesh Kumar,10,35.3,17,21.65,2024
15,Swapnil Singh,7,15.0,6,22.17,2024
1,Mitchell Starc,3,11.4,9,11.56,2025
2,Hardik Pandya,4,14.0,10,12.00,2025
3,Kuldeep Yadav,3,12.0,6,12.00,2025
4,Ravisrinivasan Sai Kishore,5,18.2,10,13.30,2025
5,Noor Ahmad,5,18.0,11,13.64,2025
6,Josh Hazlewood,4,15.5,8,15.38,2025
7,Mohammed Siraj,5,20.0,10,15.40,2025
8,Vignesh Puthur,4,11.0,6,15.67,2025
9,Khaleel Ahmed,5,20.0,10,16.50,2025
10,Prasidh Krishna,5,19.0,8,16.75,2025
11,Wanindu Hasaranga,3,11.0,6,17.50,2025
12,Krunal Pandya,4,13.0,7,19.14,2025
13,Shardul Thakur,5,17.0,9,20.44,2025
14,Varun Chakaravarthy,5,19.0,6,20.83,2025
15,Digvesh Singh Rathi,5,20.0,7,22.14,2025