,Bowler,Matches,Overs,Wkts,SR,Year
1,Andre Russell,14,29.2,19,9.26,2024
2,Matheesha Pathirana,6,22.0,13,10.15,2024
3,Mayank Yadav,4,12.1,7,10.43,2024
4,Sandeep Warrier,5,11.0,6,11.00,2024
5,Kuldeep Sen,3,12.0,6,12.00,2024
6,Harshal Patel,14,49.0,24,12.25,2024
7,Mukesh Kumar,10,35.3,17,12.53,2024
8,Ravisrinivasan Sai Kishore,5,15.0,7,12.86,2024
9,Harshit Rana,12,42.1,19,13.32,2024
10,Varun Chakaravarthy,14,50.0,21,14.29,2024
11,Nandre Burger,5,17.0,7,14.57,2024
12,Mustafizur Rahman,9,34.2,14,14.71,2024
13,Mitchell Starc,13,41.5,17,14.76,2024
14,Swapnil Singh,7,15.0,6,15.00,2024
15,Sam Curran,13,41.0,16,15.38,2024
1,Mitchell Starc,3,11.4,9,7.78,2025
2,Hardik Pandya,4,14.0,10,8.40,2025
3,Noor Ahmad,5,18.0,11,9.82,2025
4,Ravisrinivasan Sai Kishore,5,18.2,10,11.00,2025
5,Vignesh Puthur,4,11.0,6,11.00,2025
6,Wanindu Hasaranga,3,11.0,6,11.00,2025
7,Krunal Pandya,4,13.0,7,11.14,2025
8,Shardul Thakur,5,17.0,9,11.33,2025
9,Josh Hazlewood,4,15.5,8,11.88,2025
10,Mohammed Siraj,5,20.0,10,12.00,2025
11,Khaleel Ahmed,5,20.0,10,12.00,2025
12,Kuldeep Yadav,3,12.0,6,12.00,2025
13,Prasidh Krishna,5,19.0,8,14.25,2025
14,Vaibhav Arora,4,15.0,6,15.00,2025
15,Arshdeep Singh,4,16.0,6,16.00,2025