,Player,Matches,Overs,Balls,Wkts,Avg,Runs,4-fers,5-fers,Year
1,Harshal Patel,14,49.0,294,24,19.88,477,-,-,2024
2,Varun Chakaravarthy,14,50.0,300,21,19.14,402,-,-,2024
3,Jasprit Bumrah,13,51.5,311,20,16.80,336,-,1,2024
4,T Natarajan,14,51.2,308,19,24.47,465,1,-,2024
5,Harshit Rana,12,42.1,253,19,20.16,383,-,-,2024
6,Avesh Khan,15,54.5,329,19,27.68,526,-,-,2024
7,Arshdeep Singh,14,50.2,302,19,26.58,505,1,-,2024
8,Andre Russell,14,29.2,176,19,15.53,295,-,-,2024
9,Pat Cummins,16,61.0,366,18,31.44,566,-,-,2024
10,Yuzvendra Chahal,15,58.0,348,18,30.33,546,-,-,2024
11,Sunil Narine,14,55.0,330,17,21.65,368,-,-,2024
12,Tushar Deshpande,13,48.0,288,17,24.94,424,1,-,2024
13,Khaleel Ahmed,14,50.0,300,17,28.18,479,-,-,2024
14,Mukesh Kumar,10,35.3,213,17,21.65,368,-,-,2024
15,Mitchell Starc,13,41.5,251,17,26.12,444,1,-,2024
1,Noor Ahmad,5,18.0,108,11,13.64,150,1,-,2025
2,Ravisrinivasan Sai Kishore,5,18.2,110,10,13.30,133,-,-,2025
3,Mohammed Siraj,5,20.0,120,10,15.40,154,1,-,2025
4,Khaleel Ahmed,5,20.0,120,10,16.50,165,-,-,2025
5,Hardik Pandya,4,14.0,84,10,12.00,120,-,1,2025
6,Mitchell Starc,3,11.4,70,9,11.56,104,-,1,2025
7,Shardul Thakur,5,17.0,102,9,20.44,184,1,-,2025
8,Prasidh Krishna,5,19.0,114,8,16.75,134,-,-,2025
9,Josh Hazlewood,4,15.5,95,8,15.38,123,-,-,2025
10,Digvesh Singh Rathi,5,20.0,120,7,22.14,155,-,-,2025
11,Krunal Pandya,4,13.0,78,7,19.14,134,1,-,2025
12,Kuldeep Yadav,3,12.0,72,6,12.00,72,-,-,2025
13,Varun Chakaravarthy,5,19.0,114,6,20.83,125,-,-,2025
14,Vignesh Puthur,4,11.0,66,6,15.67,94,-,-,2025
15,Vaibhav Arora,4,15.0,90,6,23.17,139,-,-,2025