bowler,team,runs_conceded,balls,wickets,extras,match_id,overs,economy,average
M Markande,Mumbai Indians,496,347,17,17,19,57.8,8.581314878892734,29.176470588235293
M Markande,Rajasthan Royals,26,18,0,0,1,3.0,8.666666666666666,26.0
M Markande,Sunrisers Hyderabad,559,372,20,13,17,62.0,9.016129032258064,27.95
M Morkel,Delhi Daredevils,1143,910,52,68,37,151.7,7.534607778510218,21.98076923076923
M Morkel,Kolkata Knight Riders,887,699,35,57,29,116.5,7.613733905579399,25.34285714285714
M Morkel,Rajasthan Royals,106,90,1,6,4,15.0,7.066666666666666,106.0
M Muralitharan,Chennai Super Kings,1039,979,43,84,40,163.2,6.366421568627452,24.162790697674417
M Muralitharan,Kochi Tuskers Kerala,145,117,2,8,5,19.5,7.435897435897436,72.5
M Muralitharan,Royal Challengers Bangalore,581,485,22,31,21,80.8,7.1905940594059405,26.40909090909091
M Ntini,Chennai Super Kings,257,213,8,19,9,35.5,7.23943661971831,32.125
M Pathirana,Chennai Super Kings,617,503,38,93,20,83.8,7.362768496420048,16.236842105263158
M Prasidh Krishna,Kolkata Knight Riders,1177,799,33,63,34,133.2,8.836336336336338,35.666666666666664
M Prasidh Krishna,Rajasthan Royals,564,432,21,59,17,72.0,7.833333333333333,26.857142857142858
M Shahrukh Khan,Gujarat Titans,16,12,0,1,2,2.0,8.0,16.0
M Siddharth,Lucknow Super Giants,72,58,1,6,3,9.7,7.422680412371134,72.0
M Theekshana,Chennai Super Kings,814,631,25,25,27,105.2,7.73764258555133,32.56
M Theekshana,Rajasthan Royals,52,29,2,5,1,4.8,10.833333333333334,26.0
M Vijay,Delhi Daredevils,13,6,0,0,1,1.0,13.0,13.0
M Vijay,Kings XI Punjab,36,31,0,1,3,5.2,6.9230769230769225,36.0
M de Lange,Kolkata Knight Riders,108,64,3,5,3,10.7,10.093457943925234,36.0
M de Lange,Mumbai Indians,63,52,3,9,2,8.7,7.241379310344828,21.0
MA Khote,Mumbai Indians,52,30,2,1,2,5.0,10.4,26.0
MA Starc,Kolkata Knight Riders,450,267,20,36,13,44.5,10.112359550561798,22.5
MA Starc,Royal Challengers Bangalore,725,612,39,69,26,102.0,7.107843137254902,18.58974358974359
MA Wood,Chennai Super Kings,50,25,0,2,1,4.2,11.904761904761905,50.0
MA Wood,Lucknow Super Giants,142,102,11,18,4,17.0,8.352941176470589,12.909090909090908
MB Parmar,Kolkata Knight Riders,33,19,0,1,1,3.2,10.3125,33.0
MC Henriques,Delhi Daredevils,35,24,1,0,1,4.0,8.75,35.0
MC Henriques,Kolkata Knight Riders,107,76,2,3,4,12.7,8.425196850393702,53.5
MC Henriques,Punjab Kings,47,61,4,3,5,10.2,4.6078431372549025,11.75
MC Henriques,Royal Challengers Bangalore,187,132,8,7,8,22.0,8.5,23.375
MC Henriques,Sunrisers Hyderabad,926,686,31,33,42,114.3,8.10148731408574,29.870967741935484
MF Maharoof,Delhi Daredevils,532,441,33,38,20,73.5,7.238095238095238,16.12121212121212
MG Bracewell,Royal Challengers Bangalore,95,66,6,0,5,11.0,8.636363636363637,15.833333333333334
MG Johnson,Kings XI Punjab,904,640,31,51,26,106.7,8.472352389878163,29.161290322580644
MG Johnson,Kolkata Knight Riders,218,133,2,9,6,22.2,9.81981981981982,109.0
MG Johnson,Mumbai Indians,618,528,33,47,22,88.0,7.0227272727272725,18.727272727272727
MG Neser,Kings XI Punjab,62,25,0,1,1,4.2,14.761904761904761,62.0
MJ Clarke,Pune Warriors,72,66,3,5,5,11.0,6.545454545454546,24.0
MJ Henry,Kings XI Punjab,71,31,2,1,2,5.2,13.653846153846153,35.5
MJ Henry,Lucknow Super Giants,112,74,1,4,4,12.3,9.105691056910569,112.0
MJ McClenaghan,Mumbai Indians,1839,1346,75,113,56,224.3,8.198840838163173,24.52
MJ Santner,Chennai Super Kings,428,370,16,17,18,61.7,6.936790923824959,26.75
MJ Santner,Mumbai Indians,24,13,0,0,1,2.2,10.909090909090908,24.0
MJ Suthar,Gujarat Titans,26,12,0,0,1,2.0,13.0,26.0
MK Lomror,Rajasthan Royals,74,61,1,1,6,10.2,7.254901960784315,74.0
MK Lomror,Royal Challengers Bangalore,35,24,1,0,4,4.0,8.75,35.0
MK Lomror,Royal Challengers Bengaluru,18,9,0,3,1,1.5,12.0,18.0
MK Tiwary,Delhi Daredevils,39,18,0,0,2,3.0,13.0,39.0
MK Tiwary,Kings XI Punjab,10,7,0,3,1,1.2,8.333333333333334,10.0
MK Tiwary,Kolkata Knight Riders,34,20,1,2,3,3.3,10.303030303030303,34.0
MM Ali,Chennai Super Kings,591,506,26,13,35,84.3,7.01067615658363,22.73076923076923
MM Ali,Royal Challengers Bangalore,309,264,14,6,17,44.0,7.0227272727272725,22.071428571428573
MM Patel,Gujarat Lions,58,42,1,1,2,7.0,8.285714285714286,58.0
MM Patel,Mumbai Indians,889,708,42,39,31,118.0,7.533898305084746,21.166666666666668
MM Patel,Rajasthan Royals,786,632,39,23,30,105.3,7.464387464387465,20.153846153846153
MM Sharma,Chennai Super Kings,1293,1003,63,23,48,167.2,7.733253588516747,20.523809523809526
MM Sharma,Delhi Capitals,45,25,1,1,1,4.2,10.714285714285714,45.0
MM Sharma,Gujarat Titans,790,513,47,18,25,85.5,9.239766081871345,16.80851063829787
MM Sharma,Kings XI Punjab,1150,767,36,36,37,127.8,8.998435054773083,31.944444444444443
MN Samuels,Delhi Daredevils,34,18,0,0,2,3.0,11.333333333333334,34.0
MN Samuels,Pune Warriors,251,201,10,7,9,33.5,7.492537313432836,25.1
MP Stoinis,Delhi Capitals,411,253,15,20,21,42.2,9.739336492890995,27.4
MP Stoinis,Kings XI Punjab,435,275,14,20,18,45.8,9.497816593886464,31.071428571428573
MP Stoinis,Lucknow Super Giants,307,200,14,15,17,33.3,9.21921921921922,21.928571428571427
MP Stoinis,Royal Challengers Bangalore,147,103,2,5,6,17.2,8.546511627906977,73.5
MP Yadav,Lucknow Super Giants,88,76,8,6,4,12.7,6.929133858267717,11.0
MR Marsh,Deccan Chargers,89,64,2,5,3,10.7,8.317757009345796,44.5
MR Marsh,Delhi Capitals,377,262,17,23,15,43.7,8.62700228832952,22.176470588235293
MR Marsh,Pune Warriors,286,208,14,12,12,34.7,8.24207492795389,20.428571428571427
MR Marsh,Rising Pune Supergiants,45,55,4,1,3,9.2,4.891304347826087,11.25
MR Marsh,Sunrisers Hyderabad,6,4,0,0,1,0.7,8.571428571428571,6.0
MS Gony,Chennai Super Kings,721,529,24,33,26,88.2,8.174603174603174,30.041666666666668
MS Gony,Deccan Chargers,303,206,8,19,9,34.3,8.833819241982509,37.875
MS Gony,Gujarat Lions,32,15,0,3,1,2.5,12.8,32.0
MS Gony,Kings XI Punjab,261,175,7,12,8,29.2,8.938356164383562,37.285714285714285
MW Short,Punjab Kings,25,25,0,1,3,4.2,5.9523809523809526,25.0
Mandeep Singh,Kings XI Punjab,26,12,0,0,2,2.0,13.0,26.0
Mashrafe Mortaza,Kolkata Knight Riders,59,28,1,5,1,4.7,12.553191489361701,59.0
Mayank Dagar,Royal Challengers Bengaluru,122,72,1,7,5,12.0,10.166666666666666,122.0
Mayank Dagar,Sunrisers Hyderabad,83,66,1,0,3,11.0,7.545454545454546,83.0
Mohammad Asif,Delhi Daredevils,307,199,9,18,8,33.2,9.246987951807228,34.111111111111114
Mohammad Hafeez,Kolkata Knight Riders,71,63,2,10,4,10.5,6.761904761904762,35.5
Mohammad Nabi,Mumbai Indians,110,74,2,1,6,12.3,8.94308943089431,55.0
Mohammad Nabi,Sunrisers Hyderabad,417,345,13,12,17,57.5,7.252173913043478,32.07692307692308
Mohammed Shami,Delhi Daredevils,1025,687,29,70,32,114.5,8.951965065502183,35.3448275862069
Mohammed Shami,Gujarat Titans,1023,781,49,60,33,130.2,7.857142857142858,20.877551020408163
Mohammed Shami,Kings XI Punjab,959,673,45,50,28,112.2,8.547237076648841,21.31111111111111
Mohammed Shami,Kolkata Knight Riders,79,57,1,8,3,9.5,8.31578947368421,79.0
Mohammed Shami,Punjab Kings,400,323,20,12,14,53.8,7.434944237918216,20.0
Mohammed Shami,Sunrisers Hyderabad,33,19,1,1,1,3.2,10.3125,33.0
Mohammed Siraj,Royal Challengers Bangalore,2173,1590,71,175,73,265.0,8.2,30.6056338028169
Mohammed Siraj,Royal Challengers Bengaluru,507,350,15,38,14,58.3,8.696397941680962,33.8
Mohammed Siraj,Sunrisers Hyderabad,214,141,10,5,6,23.5,9.106382978723405,21.4
Mohit Rathee,Punjab Kings,29,12,0,0,1,2.0,14.5,29.0
Mohsin Khan,Lucknow Super Giants,698,507,27,35,23,84.5,8.2603550295858,25.85185185185185
Monu Kumar,Chennai Super Kings,20,16,0,4,1,2.7,7.4074074074074066,20.0
Mujeeb Ur Rahman,Kings XI Punjab,568,426,18,31,18,71.0,8.0,31.555555555555557
Mujeeb Ur Rahman,Sunrisers Hyderabad,30,26,2,3,1,4.3,6.976744186046512,15.0
Mukesh Choudhary,Chennai Super Kings,452,298,16,20,14,49.7,9.09456740442656,28.25
Mukesh Kumar,Delhi Capitals,707,420,31,34,20,70.0,10.1,22.806451612903224
Mustafizur Rahman,Chennai Super Kings,324,225,14,25,9,37.5,8.64,23.142857142857142
Mustafizur Rahman,Delhi Capitals,327,241,10,11,10,40.2,8.134328358208954,32.7
Mustafizur Rahman,Mumbai Indians,232,167,9,4,7,27.8,8.345323741007194,25.77777777777778
Mustafizur Rahman,Rajasthan Royals,448,327,18,32,14,54.5,8.220183486238533,24.88888888888889
Mustafizur Rahman,Sunrisers Hyderabad,461,393,19,17,17,65.5,7.038167938931298,24.263157894736842
N Burger,Rajasthan Royals,152,105,7,14,5,17.5,8.685714285714285,21.714285714285715
N Rana,Kolkata Knight Riders,250,179,10,6,23,29.8,8.389261744966444,25.0
N Rana,Mumbai Indians,3,6,0,0,1,1.0,3.0,3.0
N Rana,Rajasthan Royals,9,6,0,0,1,1.0,9.0,9.0
N Thushara,Mumbai Indians,259,172,8,20,7,28.7,9.02439024390244,32.375
N Wadhera,Mumbai Indians,13,12,0,0,1,2.0,6.5,13.0
NA Saini,Rajasthan Royals,35,15,0,4,1,2.5,14.0,35.0
NB Singh,Gujarat Lions,18,25,1,4,2,4.2,4.285714285714286,18.0
ND Doshi,Rajasthan Royals,62,32,1,0,3,5.3,11.69811320754717,62.0
ND Doshi,Royal Challengers Bangalore,17,25,1,1,1,4.2,4.0476190476190474,17.0
NJ Rimmington,Kings XI Punjab,20,18,0,1,1,3.0,6.666666666666667,20.0
NL McCullum,Pune Warriors,35,30,0,1,2,5.0,7.0,35.0
NLTC Perera,Chennai Super Kings,19,6,0,0,1,1.0,19.0,19.0
NLTC Perera,Kings XI Punjab,55,37,1,1,2,6.2,8.870967741935484,55.0
NLTC Perera,Kochi Tuskers Kerala,114,86,5,5,4,14.3,7.972027972027972,22.8
NLTC Perera,Mumbai Indians,27,15,0,0,2,2.5,10.8,27.0
NLTC Perera,Rising Pune Supergiants,326,202,10,3,11,33.7,9.673590504451038,32.6
NLTC Perera,Sunrisers Hyderabad,490,369,21,24,16,61.5,7.967479674796748,23.333333333333332
NM Coulter-Nile,Delhi Daredevils,478,383,22,30,16,63.8,7.492163009404389,21.727272727272727
NM Coulter-Nile,Kolkata Knight Riders,232,178,16,12,8,29.7,7.811447811447811,14.5
NM Coulter-Nile,Mumbai Indians,366,311,14,17,13,51.8,7.065637065637066,26.142857142857142
NM Coulter-Nile,Rajasthan Royals,49,20,0,3,1,3.3,14.84848484848485,49.0
NT Ellis,Chennai Super Kings,39,25,1,2,1,4.2,9.285714285714285,39.0
NT Ellis,Punjab Kings,514,365,19,18,16,60.8,8.453947368421053,27.05263157894737
Naman Dhir,Mumbai Indians,67,47,1,1,4,7.8,8.58974358974359,67.0
Navdeep Saini,Rajasthan Royals,113,64,6,5,3,10.7,10.560747663551403,18.833333333333332
Navdeep Saini,Royal Challengers Bangalore,855,618,20,52,28,103.0,8.300970873786408,42.75
Naveen-ul-Haq,Lucknow Super Giants,602,407,26,31,17,67.8,8.87905604719764,23.153846153846153
Nithish Kumar Reddy,Sunrisers Hyderabad,208,118,4,10,9,19.7,10.558375634517766,52.0
Noor Ahmad,Chennai Super Kings,22,27,4,7,1,4.5,4.888888888888889,5.5
Noor Ahmad,Gujarat Titans,672,513,24,35,23,85.5,7.859649122807017,28.0
O Thomas,Rajasthan Royals,85,63,5,9,4,10.5,8.095238095238095,17.0
OC McCoy,Rajasthan Royals,255,180,11,24,8,30.0,8.5,23.181818181818183
OF Smith,Punjab Kings,179,95,7,6,6,15.8,11.329113924050633,25.571428571428573
P Amarnath,Chennai Super Kings,241,132,7,5,6,22.0,10.954545454545455,34.42857142857143
P Awana,Kings XI Punjab,1046,774,43,46,33,129.0,8.108527131782946,24.325581395348838
P Dubey,Delhi Capitals,91,67,1,1,4,11.2,8.125,91.0
P Kumar,Gujarat Lions,562,427,16,39,22,71.2,7.893258426966292,35.125
P Kumar,Kings XI Punjab,1192,1032,35,91,44,172.0,6.930232558139535,34.05714285714286
P Kumar,Mumbai Indians,81,73,4,4,3,12.2,6.639344262295082,20.25
P Kumar,Royal Challengers Bangalore,1169,875,40,79,38,145.8,8.017832647462276,29.225
P Kumar,Sunrisers Hyderabad,338,230,7,23,12,38.3,8.825065274151436,48.285714285714285
P Negi,Chennai Super Kings,335,226,8,12,12,37.7,8.885941644562333,41.875
P Negi,Delhi Daredevils,265,213,9,4,12,35.5,7.464788732394366,29.444444444444443
P Negi,Royal Challengers Bangalore,354,294,21,16,18,49.0,7.224489795918367,16.857142857142858
P Parameswaran,Kochi Tuskers Kerala,137,97,4,3,5,16.2,8.456790123456791,34.25
P Parameswaran,Royal Challengers Bangalore,89,62,5,4,3,10.3,8.640776699029125,17.8
P Prasanth,Kochi Tuskers Kerala,18,6,0,0,1,1.0,18.0,18.0
P Ray Barman,Royal Challengers Bangalore,56,24,0,0,1,4.0,14.0,56.0
P Sahu,Kings XI Punjab,152,107,3,8,5,17.8,8.539325842696629,50.666666666666664
P Suyal,Mumbai Indians,154,107,2,14,5,17.8,8.651685393258427,77.0
PC Valthaty,Kings XI Punjab,207,153,7,8,10,25.5,8.117647058823529,29.571428571428573
PD Collingwood,Delhi Daredevils,101,90,5,1,6,15.0,6.733333333333333,20.2
PH Solanki,Chennai Super Kings,39,36,2,1,2,6.0,6.5,19.5
PJ Cummins,Delhi Daredevils,393,289,16,32,12,48.2,8.153526970954356,24.5625
PJ Cummins,Kolkata Knight Riders,1012,706,32,77,30,117.7,8.598130841121495,31.625
PJ Cummins,Sunrisers Hyderabad,631,401,18,17,17,66.8,9.446107784431138,35.05555555555556
PJ Sangwan,Delhi Daredevils,855,651,34,67,28,108.5,7.880184331797235,25.147058823529413
PJ Sangwan,Gujarat Lions,232,135,6,5,7,22.5,10.311111111111112,38.666666666666664
PJ Sangwan,Gujarat Titans,66,56,3,3,3,9.3,7.096774193548386,22.0
PJ Sangwan,Kolkata Knight Riders,94,51,1,9,3,8.5,11.058823529411764,94.0
PJ Sangwan,Mumbai Indians,20,12,0,1,1,2.0,10.0,20.0
PM Sarvesh Kumar,Deccan Chargers,42,31,1,1,2,5.2,8.076923076923077,42.0
PP Chawla,Chennai Super Kings,191,128,7,2,7,21.3,8.967136150234742,27.285714285714285
PP Chawla,Kings XI Punjab,2284,1806,89,92,87,301.0,7.588039867109635,25.662921348314608
PP Chawla,Kolkata Knight Riders,1855,1351,68,40,69,225.2,8.237122557726465,27.279411764705884
PP Chawla,Mumbai Indians,849,610,37,18,28,101.7,8.348082595870206,22.945945945945947
PP Ojha,Deccan Chargers,1378,1147,66,90,53,191.2,7.2071129707112975,20.87878787878788
PP Ojha,Mumbai Indians,1021,798,33,48,37,133.0,7.676691729323308,30.939393939393938
PV Tambe,Gujarat Lions,143,97,5,1,7,16.2,8.827160493827162,28.6
PV Tambe,Rajasthan Royals,723,577,23,31,26,96.2,7.515592515592515,31.434782608695652
PVD Chameera,Kolkata Knight Riders,49,19,0,2,1,3.2,15.3125,49.0
PVD Chameera,Lucknow Super Giants,393,278,11,27,12,46.3,8.488120950323975,35.72727272727273
PVSN Raju,Mumbai Indians,13,7,0,1,1,1.2,10.833333333333334,13.0
PWH de Silva,Royal Challengers Bangalore,758,557,36,17,26,92.8,8.168103448275863,21.055555555555557
Pankaj Singh,Rajasthan Royals,324,215,7,7,12,35.8,9.050279329608939,46.285714285714285
Pankaj Singh,Royal Challengers Bangalore,148,96,4,12,5,16.0,9.25,37.0
Parvez Rasool,Pune Warriors,29,30,1,1,2,5.0,5.8,29.0
Parvez Rasool,Royal Challengers Bangalore,130,84,1,1,4,14.0,9.285714285714286,130.0
Parvez Rasool,Sunrisers Hyderabad,114,86,2,3,5,14.3,7.972027972027972,57.0
R Ashwin,Chennai Super Kings,2262,2105,100,121,95,350.8,6.448118586088939,22.62
R Ashwin,Delhi Capitals,727,590,23,21,28,98.3,7.395727365208545,31.608695652173914
R Ashwin,Kings XI Punjab,811,656,28,24,28,109.3,7.419945105215005,28.964285714285715
R Ashwin,Rajasthan Royals,1345,1074,37,69,44,179.0,7.5139664804469275,36.351351351351354
R Ashwin,Rising Pune Supergiants,321,278,11,22,14,46.3,6.93304535637149,29.181818181818183
R Bhatia,Delhi Daredevils,474,365,23,22,21,60.8,7.796052631578948,20.608695652173914
R Bhatia,Kolkata Knight Riders,947,783,38,31,43,130.5,7.256704980842912,24.92105263157895
R Bhatia,Rajasthan Royals,334,262,13,9,14,43.7,7.643020594965675,25.692307692307693
R Bhatia,Rising Pune Supergiant,55,43,2,2,3,7.2,7.638888888888888,27.5
R Bhatia,Rising Pune Supergiants,249,208,6,9,10,34.7,7.17579250720461,41.5
R Dhawan,Kings XI Punjab,540,418,18,38,20,69.7,7.747489239598278,30.0
R Dhawan,Mumbai Indians,115,95,2,11,5,15.8,7.2784810126582276,57.5
R Dhawan,Punjab Kings,267,180,7,22,11,30.0,8.9,38.142857142857146
R Goyal,Mumbai Indians,34,24,0,1,1,4.0,8.5,34.0
R McLaren,Kings XI Punjab,182,111,5,7,6,18.5,9.837837837837839,36.4
R McLaren,Kolkata Knight Riders,95,46,4,9,2,7.7,12.337662337662337,23.75
R McLaren,Mumbai Indians,281,215,5,22,10,35.8,7.849162011173185,56.2
R Ninan,Royal Challengers Bangalore,65,36,3,0,2,6.0,10.833333333333334,21.666666666666668
R Parag,Rajasthan Royals,307,181,5,7,21,30.2,10.165562913907285,61.4
R Powell,Delhi Capitals,35,21,1,3,2,3.5,10.0,35.0
R Rampaul,Royal Challengers Bangalore,319,278,17,20,12,46.3,6.889848812095033,18.764705882352942
R Ravindra,Chennai Super Kings,7,12,0,0,2,2.0,3.5,7.0
R Sai Kishore,Gujarat Titans,259,191,13,6,10,31.8,8.144654088050315,19.923076923076923
R Sanjay Yadav,Mumbai Indians,23,14,0,2,1,2.3,10.0,23.0
R Sathish,Kings XI Punjab,52,24,1,1,3,4.0,13.0,52.0
R Sathish,Kolkata Knight Riders,59,38,2,2,3,6.3,9.365079365079366,29.5
R Sathish,Mumbai Indians,122,82,3,3,8,13.7,8.905109489051096,40.666666666666664
R Sharma,Deccan Chargers,170,126,6,5,6,21.0,8.095238095238095,28.333333333333332
R Sharma,Delhi Daredevils,65,36,1,0,2,6.0,10.833333333333334,65.0
R Sharma,Pune Warriors,865,773,35,16,36,128.8,6.71583850931677,24.714285714285715
R Shepherd,Mumbai Indians,162,76,2,8,5,12.7,12.755905511811024,81.0
R Shepherd,Sunrisers Hyderabad,98,57,4,5,3,9.5,10.31578947368421,24.5
R Shukla,Delhi Daredevils,105,58,3,11,3,9.7,10.824742268041238,35.0
R Shukla,Mumbai Indians,32,19,0,2,1,3.2,10.0,32.0
R Shukla,Rajasthan Royals,80,53,4,6,3,8.8,9.09090909090909,20.0
R Tewatia,Delhi Capitals,42,39,2,1,3,6.5,6.461538461538462,21.0
R Tewatia,Delhi Daredevils,174,134,6,3,8,22.3,7.802690582959641,29.0
R Tewatia,Gujarat Titans,91,50,1,1,7,8.3,10.963855421686747,91.0
R Tewatia,Kings XI Punjab,51,55,3,3,3,9.2,5.543478260869565,17.0
R Tewatia,Rajasthan Royals,759,588,24,21,31,98.0,7.744897959183674,31.625
R Vinay Kumar,Kochi Tuskers Kerala,345,278,17,20,13,46.3,7.451403887688985,20.294117647058822
R Vinay Kumar,Kolkata Knight Riders,359,219,12,17,11,36.5,9.835616438356164,29.916666666666668
R Vinay Kumar,Mumbai Indians,467,342,15,15,17,57.0,8.192982456140351,31.133333333333333
R Vinay Kumar,Royal Challengers Bangalore,1870,1347,83,64,63,224.5,8.329621380846325,22.53012048192771
RA Jadeja,Chennai Super Kings,3782,3019,139,98,160,503.2,7.515898251192369,27.20863309352518
RA Jadeja,Gujarat Lions,672,476,14,19,26,79.3,8.474148802017655,48.0
RA Jadeja,Kochi Tuskers Kerala,307,261,9,13,14,43.5,7.057471264367816,34.111111111111114
RA Jadeja,Rajasthan Royals,177,157,7,10,12,26.2,6.755725190839695,25.285714285714285
RA Shaikh,Mumbai Indians,11,6,0,0,1,1.0,11.0,11.0
RA Tripathi,Rising Pune Supergiant,12,6,0,0,1,1.0,12.0,12.0
RD Chahar,Mumbai Indians,1073,871,42,27,39,145.2,7.389807162534436,25.547619047619047
RD Chahar,Punjab Kings,1033,780,32,31,36,130.0,7.946153846153846,32.28125
RD Chahar,Rising Pune Supergiant,59,46,2,5,2,7.7,7.662337662337662,29.5
RE van der Merwe,Delhi Daredevils,225,219,14,6,10,36.5,6.164383561643835,16.071428571428573
RE van der Merwe,Royal Challengers Bangalore,290,236,11,23,11,39.3,7.3791348600508915,26.363636363636363
RG More,Chennai Super Kings,63,37,1,6,2,6.2,10.161290322580644,63.0
RG Sharma,Deccan Chargers,348,284,15,18,22,47.3,7.357293868921777,23.2
RG Sharma,Mumbai Indians,114,65,1,6,10,10.8,10.555555555555555,114.0
RJ Gleeson,Chennai Super Kings,72,51,1,5,2,8.5,8.470588235294118,72.0
RJ Harris,Deccan Chargers,474,387,21,34,16,64.5,7.348837209302325,22.571428571428573
RJ Harris,Kings XI Punjab,611,478,26,53,21,79.7,7.66624843161857,23.5
RJ Peterson,Mumbai Indians,70,48,3,0,4,8.0,8.75,23.333333333333332
RJW Topley,Royal Challengers Bangalore,14,12,1,0,1,2.0,7.0,14.0
RJW Topley,Royal Challengers Bengaluru,168,95,4,5,4,15.8,10.632911392405063,42.0
RN ten Doeschate,Kolkata Knight Riders,94,83,3,6,10,13.8,6.811594202898551,31.333333333333332
RP Meredith,Mumbai Indians,450,307,17,37,13,51.2,8.7890625,26.470588235294116
RP Meredith,Punjab Kings,171,108,4,12,5,18.0,9.5,42.75
RP Singh,Deccan Chargers,1274,973,57,102,42,162.2,7.854500616522812,22.350877192982455
