Name,Team,Home?,Date,Time,Opp,OV,R,ER,MO/Inn.,WK/Inn.,NB/Inn.,Wides/Inn.,Dots/Inn.,Dream11
Mohammed Siraj,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,19,165,8.68,0,1.4,0.2,2.6,12,22.59
Prasidh Krishna,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,8,67,8.38,0,1.5,0,1.5,13.5,15.94
Rashid Khan,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,19.5,146,7.36,0,1.6,0,0.4,7.6,36.98
Ravisrinivasan Sai Kishore,Gujarat Titans,No,4/12,10:00 AM,Lucknow Super Giants,2,7,3.5,0,2,0,0,5,27.28
Avesh Khan,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,18.4,162,8.68,0,1,0,0.6,7,19.43
Mitchell Marsh,Lucknow Super Giants,Yes,4/12,10:00 AM,Gujarat Titans,3.1,24,7.58,0,1,0,1,4,20.29
Noor Ahmad,Chennai Super Kings,Yes,4-Nov,2:00 PM,Kolkata Knight Riders,4,21,5.25,0,2,0,1,12,18.39
Harshit Rana,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,6,35,5.83,0,1,0,0.5,11,12.13
Moeen Ali,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,93.7,641,6.88,0.03,0.71,0.03,0.18,5.37,27.25
Sunil Narine,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,53.2,331,6.21,0.07,1.43,0.07,0.29,8.43,38.54
Vaibhav Arora,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,16,110,6.88,0,1.5,0.25,1,10.5,16.58
Varun Chakravarthy,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,40,291,7.28,0,1.1,0.1,0.2,8.8,29
Venkatesh Iyer,Kolkata Knight Riders,No,4-Nov,2:00 PM,Chennai Super Kings,2,10,5,0,0,0,0,2,37.04
Arshdeep Singh,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,38.9,294,7.64,0,1.4,0.1,1.3,8.8,30.53
Marco Jansen,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,69,670,9.71,0.05,0.95,0.37,1.37,9.05,26.01
Yuzvendra Chahal,Punjab Kings,No,4/12,2:00 PM,Sunrisers Hyderabad,63.1,475,7.52,0,1.56,0.06,0.56,8.38,30.41
Abhishek Sharma,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,6,50,8.33,0,1,0.33,0.33,4,38.9
Jaydev Unadkat,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,29,289,9.97,0.13,0.75,0.13,1,7.88,24.24
Mohammed Shami,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,176.8,1509,8.56,0.02,1.27,0.08,0.48,9.13,26.29
Pat Cummins,Sunrisers Hyderabad,Yes,4/12,2:00 PM,Punjab Kings,23,172,7.48,0,1,0,0.17,9.33,23.17
Maheesh Theekshana,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,20,162,8.1,0,1.6,0,0.4,7.4,24.94
Nitish Rana,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,4,41,10.25,0,1,0,0.67,3.33,37.63
Sandeep Sharma,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,54.5,450,8.21,0,1.29,0,0.5,9,26.92
Tushar Deshpande,Rajasthan Royals,Yes,4/13,10:00 AM,Royal Challengers Bangalore,12,141,11.75,0,1.33,0,4,9.67,26.24
Josh Hazlewood,Royal Challengers Bangalore,No,4/13,10:00 AM,Rajasthan Royals,16,115,7.19,0.25,1.25,0,0,12.5,18.77
Yash Dayal,Royal Challengers Bangalore,No,4/13,10:00 AM,Rajasthan Royals,18,178,9.89,0,1.2,0.2,0.4,9.6,16.17
Mitchell Starc,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,4.5,44,9.1,0,2,0,0.5,7,15.35
Mohit Sharma,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,34.5,334,9.59,0,1.9,0.1,0.6,8.2,19.56
Mukesh Kumar,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,6,89,14.83,0,2.5,0,0,6,24.34
Tristan Stubbs,Delhi Capitals,Yes,4/13,2:00 PM,Mumbai Indians,2,14,7,0,1,0,0,3,20.97
Deepak Chahar,Mumbai Indians,No,4/13,2:00 PM,Delhi Capitals,48,395,8.23,0.07,1,0,0.79,8.43,24.66
Jasprit Bumrah,Mumbai Indians,No,4/13,2:00 PM,Delhi Capitals,68.2,467,6.83,0.06,1.39,0.22,0.61,9.44,30.52